ticker,entry_date,entry_price,exit_date,exit_price,qty,cost,proceeds,pnl,reason,target,stop_loss
TATACONSUM.NS,2024-06-07,1099.12,2024-06-21,1076.92,32,35171.84,34461.44,-710.3999999999942,STOP_LOSS,1183.65,1085.03
ULTRACEMCO.NS,2024-06-07,10004.18,2024-06-21,10532.78,3,30012.54,31598.340000000004,1585.800000000003,STOP_LOSS,11798.74,10586.66
MARUTI.NS,2024-06-14,12287.05,2024-06-21,11957.91,1,12287.05,11957.91,-329.1399999999994,STOP_LOSS,13192.16,12136.2
BAJAJ-AUTO.NS,2024-03-15,7812.41,2024-06-28,9266.79,6,46874.46,55600.740000000005,8726.280000000006,STOP_LOSS,10195.59,9355.47
EICHERMOT.NS,2024-03-22,3799.96,2024-06-28,4562.58,11,41799.56,50188.38,8388.82,STOP_LOSS,5082.81,4620.33
COALINDIA.NS,2024-05-17,404.42,2024-06-28,421.5,86,34780.12,36249.0,1468.8799999999974,STOP_LOSS,477.56,422.87
CIPLA.NS,2024-05-24,1411.49,2024-06-28,1452.83,17,23995.33,24698.11,702.7799999999988,STOP_LOSS,1601.57,1485.41
TITAN.NS,2024-06-14,3414.62,2024-07-05,3259.54,3,10243.86,9778.619999999999,-465.2400000000016,STOP_LOSS,3694.7,3367.94
M&M.NS,2024-03-28,1836.94,2024-07-12,2682.4,21,38575.74,56330.4,17754.660000000003,STOP_LOSS,3081.72,2735.95
TATASTEEL.NS,2024-06-07,164.25,2024-07-12,164.85,216,35478.0,35607.6,129.59999999999854,STOP_LOSS,188.73,165.47
ZEEL.NS,2024-05-24,141.84,2024-07-19,133.61,174,24680.16,23248.140000000003,-1432.0199999999968,STOP_LOSS,176.87,146.17
GRASIM.NS,2024-06-14,2370.64,2024-07-19,2722.6,5,11853.199999999999,13613.0,1759.800000000001,STOP_LOSS,2934.16,2738.92
NTPC.NS,2024-06-28,355.27,2024-07-19,350.25,79,28066.329999999998,27669.75,-396.5799999999981,STOP_LOSS,382.21,351.74
SBIN.NS,2024-03-28,709.18,2024-07-26,845.47,56,39714.079999999994,47346.32,7632.240000000005,STOP_LOSS,902.96,848.51
WIPRO.NS,2024-06-07,227.32,2024-07-26,252.32,156,35461.92,39361.92,3900.0,STOP_LOSS,282.46,259.47
NESTLEIND.NS,2024-06-14,1221.29,2024-07-26,1225.42,10,12212.9,12254.2,41.30000000000109,STOP_LOSS,1330.58,1251.26
ICICIBANK.NS,2024-06-21,1105.72,2024-07-26,1187.73,19,21008.68,22566.87,1558.1899999999987,STOP_LOSS,1274.49,1194.03
RELIANCE.NS,2024-06-28,1525.43,2024-07-26,1497.94,18,27457.74,26962.920000000002,-494.8199999999997,STOP_LOSS,1649.63,1536.52
BAJAJFINSV.NS,2024-07-12,1573.34,2024-07-26,1585.68,13,20453.42,20613.84,160.4200000000019,STOP_LOSS,1685.51,1604.91
LTIM.NS,2024-06-07,4745.54,2024-08-02,5420.93,7,33218.78,37946.51,4727.730000000003,STOP_LOSS,5984.62,5477.76
VBL.NS,2024-06-07,586.64,2024-08-02,626.62,60,35198.4,37597.2,2398.7999999999956,STOP_LOSS,706.05,639.79
EICHERMOT.NS,2024-07-12,4658.53,2024-08-02,4615.06,4,18634.12,18460.24,-173.87999999999738,STOP_LOSS,5108.11,4733.61
M&M.NS,2024-07-26,2781.9,2024-08-02,2727.74,10,27819.0,27277.399999999998,-541.6000000000022,STOP_LOSS,3030.56,2740.45
TCS.NS,2024-06-07,3674.57,2024-08-09,4076.65,9,33071.130000000005,36689.85,3618.719999999994,STOP_LOSS,4409.93,4095.11
INFY.NS,2024-06-07,1441.47,2024-08-09,1700.49,24,34595.28,40811.76,6216.480000000003,STOP_LOSS,1880.27,1747.41
KOTAKBANK.NS,2024-06-07,1710.28,2024-08-09,1767.61,20,34205.6,35352.2,1146.5999999999985,STOP_LOSS,1935.03,1783.67
ULTRACEMCO.NS,2024-06-21,10178.47,2024-08-09,11229.17,2,20356.94,22458.34,2101.4000000000015,STOP_LOSS,12232.97,11283.47
TITAN.NS,2024-07-26,3402.76,2024-08-09,3321.7,8,27222.08,26573.6,-648.4800000000032,STOP_LOSS,3645.47,3362.31
MARUTI.NS,2024-08-02,12292.78,2024-08-09,12093.31,2,24585.56,24186.62,-398.9400000000023,STOP_LOSS,13184.84,12144.1
POWERGRID.NS,2024-03-28,253.37,2024-08-16,323.09,158,40032.46,51048.219999999994,11015.759999999995,STOP_LOSS,357.75,324.98
ADANIPORTS.NS,2024-05-17,1284.77,2024-08-16,1486.22,27,34688.79,40127.94,5439.1500000000015,STOP_LOSS,1654.35,1524.78
DIVISLAB.NS,2024-05-24,3971.35,2024-08-16,4612.9,6,23828.1,27677.399999999998,3849.2999999999993,STOP_LOSS,5206.41,4790.29
DRREDDY.NS,2024-06-07,1170.71,2024-08-16,1350.16,30,35121.3,40504.8,5383.5,STOP_LOSS,1447.58,1353.57
BHARTIARTL.NS,2024-05-17,1297.49,2024-09-06,1526.49,26,33734.74,39688.74,5954.0,STOP_LOSS,1634.66,1531.79
