date,buy_signals,hold_signals,sell_signals,capital,unrealized_pnl,realized_pnl,total_pnl,total_value,return_percent,positions_count
2023-10-27,5,13,28,783797.96,16735.65,191399.95,208135.6,800533.61,20.81,14
2023-11-03,6,23,17,712943.24,21468.69,192353.88,213822.57,734411.93,21.38,15
2023-11-10,20,25,1,324964.63,29281.23,203489.49,232770.72,354245.86,23.28,23
2023-11-17,33,10,3,147685.9,41756.65,219102.45,260859.1,189442.55,26.09,34
2023-11-24,26,18,2,226094.2,36934.23,228386.82,265321.05,263028.43,26.53,36
2023-12-01,36,10,0,110133.47,52983.11,252591.4,305574.51,163116.58,30.56,43
2023-12-08,41,5,0,99659.28,52982.78,291485.35,344468.13,152642.06,34.45,46
2023-12-15,30,15,1,227843.43,59193.49,319362.1,378555.59,287036.92,37.86,42
2023-12-22,28,17,1,398525.32,40233.8,344973.74,385207.54,438759.12,38.52,38
2023-12-29,29,17,0,349091.92,49096.1,365767.67,414863.77,398188.02,41.49,39
2024-01-05,29,16,1,451767.01,52289.97,370510.21,422800.18,504056.98,42.28,33
2024-01-12,17,27,2,537171.71,54172.96,375499.74,429672.7,591344.67,42.97,29
2024-01-19,25,13,8,433394.1,56905.31,390655.71,447561.02,490299.41,44.76,31
2024-01-25,22,12,12,513442.57,57667.1,388143.96,445811.06,571109.67,44.58,29
2024-02-02,29,9,8,377832.1,70852.98,427348.44,498201.42,448685.08,49.82,31
2024-02-09,22,16,8,428142.98,62859.19,461623.02,524482.21,491002.17,52.45,32
2024-02-16,20,20,6,507060.64,73383.93,481390.38,554774.31,580444.57,55.48,31
2024-02-23,27,17,2,461051.13,78850.86,489468.27,568319.13,539901.99,56.83,33
2024-03-01,19,21,6,516229.94,84904.35,490623.6,575527.95,601134.29,57.55,31
2024-03-07,22,15,9,530199.26,88018.3,496462.76,584481.06,618217.56,58.45,31
2024-03-15,8,28,10,856433.32,43887.28,511511.82,555399.1,900320.6,55.54,18
2024-03-22,9,25,12,757998.02,44357.98,519422.2,563780.18,802356.0,56.38,19
2024-03-28,23,12,11,282996.28,64297.64,518807.18,583104.82,347293.92,58.31,31
2024-04-05,25,15,6,329827.67,61800.44,538838.37,600638.81,391628.11,60.06,32
2024-04-12,14,22,10,594390.83,53734.36,545559.61,599293.97,648125.19,59.93,26
2024-04-19,8,16,22,795739.41,39302.52,549982.17,589284.69,835041.93,58.93,20
2024-04-26,15,20,11,755034.47,58157.84,550595.13,608752.97,813192.31,60.88,19
2024-05-03,22,20,4,476717.02,61693.18,564499.37,626192.55,538410.2,62.62,25
2024-05-10,9,21,16,737981.07,36415.17,567541.53,603956.7,774396.24,60.4,19
2024-05-17,17,21,8,553998.77,49339.1,581374.02,630713.12,603337.87,63.07,24
2024-05-24,29,15,2,338253.93,74403.99,585164.42,659568.41,412657.92,65.96,32
2024-05-31,12,19,15,757882.77,37482.87,594476.58,631959.45,795365.64,63.2,22
2024-06-07,28,14,4,132368.24,63012.03,618772.24,681784.27,195380.27,68.18,34
2024-06-14,30,15,1,196872.64,75189.56,629581.52,704771.08,272062.2,70.48,38
2024-06-21,18,22,6,421283.46,69081.12,625301.31,694382.43,490364.58,69.44,33
2024-06-28,22,22,2,516390.59,77729.61,640214.75,717944.36,594120.2,71.79,31
2024-07-05,33,12,1,326527.44,96494.74,644515.78,741010.52,423022.18,74.1,38
2024-07-12,31,13,2,371660.42,102604.08,664015.39,766619.47,474264.5,76.66,39
2024-07-19,21,21,4,466882.27,94434.71,672065.13,766499.84,561316.98,76.65,36
