NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-03 19:01:34

BUY SIGNALS (315):
  GOKULAGRO.NS    | Price:  193.39 | Entry:  189.52 | Target:  253.95 | Risk: LOW       
  WEBELSOLAR.NS   | Price:   76.36 | Entry:   74.83 | Target:  107.54 | Risk: LOW       
  GAEL.NS         | Price:  140.35 | Entry:  137.54 | Target:  169.63 | Risk: LOW       
  ENTERO.NS       | Price: 1249.10 | Entry: 1224.12 | Target: 1521.10 | Risk: LOW       
  JSFB.NS         | Price:  372.70 | Entry:  365.25 | Target:  453.49 | Risk: LOW       
  ANUP.NS         | Price: 1748.80 | Entry: 1713.82 | Target: 2242.55 | Risk: LOW       
  SUVEN.NS        | Price:  157.96 | Entry:   154.8 | Target:  203.47 | Risk: LOW       
  NACLIND.NS      | Price:  138.15 | Entry:  135.39 | Target:  179.29 | Risk: LOW       
  BANARISUG.NS    | Price: 3691.70 | Entry: 3617.87 | Target: 4014.88 | Risk: LOW       
  INDRAMEDCO.NS   | Price:  399.60 | Entry:  391.61 | Target:  502.06 | Risk: LOW       
  SGMART.NS       | Price:  504.80 | Entry:   494.7 | Target:  645.73 | Risk: LOW       
  EIEL.NS         | Price:  168.12 | Entry:  164.76 | Target:  219.05 | Risk: LOW       
  SANATHAN.NS     | Price:  419.20 | Entry:  410.82 | Target:  529.95 | Risk: LOW       
  GUJALKALI.NS    | Price:  603.45 | Entry:  591.38 | Target:  858.36 | Risk: LOW       
  MPSLTD.NS       | Price: 1659.30 | Entry: 1626.11 | Target: 2007.23 | Risk: LOW       
  TRUALT.NS       | Price:  414.20 | Entry:  405.92 | Target:  524.29 | Risk: LOW       
  WONDERLA.NS     | Price:  529.05 | Entry:  518.47 | Target:  635.10 | Risk: LOW       
  PRECWIRE.NS     | Price:  300.05 | Entry:  294.05 | Target:  395.62 | Risk: LOW       
  MBAPL.NS        | Price:  531.75 | Entry:  521.12 | Target:  645.11 | Risk: LOW       
  CENTUM.NS       | Price: 2836.50 | Entry: 2779.77 | Target: 3715.36 | Risk: LOW       
  BAJAJCON.NS     | Price:  360.45 | Entry:  353.24 | Target:  449.43 | Risk: LOW       
  INDOTHAI.NS     | Price:  291.35 | Entry:  285.52 | Target:  354.69 | Risk: LOW       
  SAMBHV.NS       | Price:  100.87 | Entry:   98.85 | Target:  127.45 | Risk: LOW       
  KRISHANA.NS     | Price:  539.20 | Entry:  528.42 | Target:  658.25 | Risk: LOW       
  PAISALO.NS      | Price:   35.76 | Entry:   35.04 | Target:   47.65 | Risk: LOW       
  WSTCSTPAPR.NS   | Price:  431.95 | Entry:  423.31 | Target:  536.36 | Risk: LOW       
  GANECOS.NS      | Price: 1110.15 | Entry: 1087.95 | Target: 1483.70 | Risk: LOW       
  DEEPINDS.NS     | Price:  438.85 | Entry:  430.07 | Target:  569.64 | Risk: LOW       
  NOCIL.NS        | Price:  165.13 | Entry:  161.83 | Target:  219.23 | Risk: LOW       
  SANGHVIMOV.NS   | Price:  286.67 | Entry:  280.94 | Target:  387.03 | Risk: LOW       
  FMGOETZE.NS     | Price:  417.70 | Entry:  409.35 | Target:  534.79 | Risk: LOW       
  DALMIASUG.NS    | Price:  370.10 | Entry:   362.7 | Target:  500.14 | Risk: LOW       
  ALPEXSOLAR.NS   | Price:  860.85 | Entry:  843.63 | Target: 1095.08 | Risk: LOW       
  RPSGVENT.NS     | Price: 1021.20 | Entry: 1000.78 | Target: 1341.25 | Risk: LOW       
  IOLCP.NS        | Price:   77.29 | Entry:   75.74 | Target:   97.72 | Risk: LOW       
  BAJAJHIND.NS    | Price:   17.08 | Entry:   16.74 | Target:   21.71 | Risk: LOW       
  NITCO.NS        | Price:   85.42 | Entry:   83.71 | Target:  118.54 | Risk: LOW       
  BEPL.NS         | Price:   87.08 | Entry:   85.34 | Target:  108.68 | Risk: LOW       
  XPROINDIA.NS    | Price: 1035.20 | Entry:  1014.5 | Target: 1371.29 | Risk: LOW       
  ROSSTECH.NS     | Price:  724.10 | Entry:  709.62 | Target:  909.80 | Risk: LOW       
  SMSPHARMA.NS    | Price:  388.25 | Entry:  380.49 | Target:  505.39 | Risk: LOW       
  KSHINTL.NS      | Price:  448.35 | Entry:  439.38 | Target:  579.85 | Risk: LOW       
  INSECTICID.NS   | Price:  608.70 | Entry:  596.53 | Target:  788.88 | Risk: LOW       
  LANDMARK.NS     | Price:  405.50 | Entry:  397.39 | Target:  534.27 | Risk: LOW       
  SEAMECLTD.NS    | Price: 1495.70 | Entry: 1465.79 | Target: 1870.56 | Risk: LOW       
  STEELCAS.NS     | Price:  233.63 | Entry:  228.96 | Target:  294.16 | Risk: LOW       
  SGFIN.NS        | Price:  452.40 | Entry:  443.35 | Target:  578.19 | Risk: LOW       
  RPTECH.NS       | Price:  364.70 | Entry:  357.41 | Target:  446.77 | Risk: LOW       
  WHEELS.NS       | Price:  974.35 | Entry:  954.86 | Target: 1266.64 | Risk: LOW       
  GMBREW.NS       | Price: 1055.15 | Entry: 1034.05 | Target: 1317.49 | Risk: LOW       
  PIXTRANS.NS     | Price: 1458.40 | Entry: 1429.23 | Target: 1683.65 | Risk: LOW       
  UNIPARTS.NS     | Price:  469.10 | Entry:  459.72 | Target:  563.51 | Risk: LOW       
  MSPL.NS         | Price:   31.38 | Entry:   30.75 | Target:   39.87 | Risk: LOW       
  SPAL.NS         | Price:  717.15 | Entry:  702.81 | Target:  854.01 | Risk: LOW       
  VIDHIING.NS     | Price:  315.20 | Entry:   308.9 | Target:  420.93 | Risk: LOW       
  BETA.NS         | Price: 1387.20 | Entry: 1359.46 | Target: 1841.63 | Risk: LOW       
  BLSE.NS         | Price:  160.52 | Entry:  157.31 | Target:  201.41 | Risk: LOW       
  GOCLCORP.NS     | Price:  272.25 | Entry:  266.81 | Target:  372.05 | Risk: LOW       
  BLISSGVS.NS     | Price:  234.18 | Entry:   229.5 | Target:  301.03 | Risk: LOW       
  JNKINDIA.NS     | Price:  247.70 | Entry:  242.75 | Target:  329.75 | Risk: LOW       
  SOLEX.NS        | Price: 1016.85 | Entry:  996.51 | Target: 1399.24 | Risk: LOW       
  AIMTRON.NS      | Price:  861.25 | Entry:  844.02 | Target: 1059.71 | Risk: LOW       
  APOLLOPIPE.NS   | Price:  434.95 | Entry:  426.25 | Target:  562.22 | Risk: LOW       
  CONFIPET.NS     | Price:   52.39 | Entry:   51.34 | Target:   77.68 | Risk: LOW       
  CENTRUM.NS      | Price:   27.63 | Entry:   27.08 | Target:   43.13 | Risk: LOW       
  SPORTKING.NS    | Price:  128.47 | Entry:   125.9 | Target:  162.71 | Risk: LOW       
  GODAVARIB.NS    | Price:  312.15 | Entry:  305.91 | Target:  403.38 | Risk: LOW       
  SHANKARA.NS     | Price:  115.19 | Entry:  112.89 | Target:  143.92 | Risk: LOW       
  BSHSL.NS        | Price:   87.40 | Entry:   85.65 | Target:  115.98 | Risk: LOW       
  DIFFNKG.NS      | Price:  281.13 | Entry:  275.51 | Target:  362.51 | Risk: LOW       
  TEXINFRA.NS     | Price:   97.79 | Entry:   95.83 | Target:  121.53 | Risk: LOW       
