date,buy_signals,hold_signals,sell_signals,capital,unrealized_pnl,realized_pnl,total_pnl,total_value,return_percent,positions_count
2020-03-27,1,13,31,1175497.29,4884.78,236377.69,241262.47,1180382.07,24.13,1
2020-04-03,3,15,27,1058393.31,13350.39,236377.69,249728.08,1071743.7,24.97,3
2020-04-09,7,33,5,849898.79,37598.7,272055.06,309653.76,887497.49,30.97,7
2020-04-17,9,30,6,765244.53,54453.51,272055.06,326508.57,819698.04,32.65,9
2020-04-24,9,14,22,654565.62,67988.33,272055.06,340043.39,722553.95,34.0,12
2020-04-30,15,24,6,387307.63,76298.29,273063.0,349361.29,463605.92,34.94,20
2020-05-08,12,20,13,537283.89,59116.2,268933.5,328049.7,596400.09,32.8,17
2020-05-15,13,20,12,499644.69,41370.73,284271.84,325642.57,541015.42,32.56,20
2020-05-22,18,16,11,385984.37,56463.64,310366.81,366830.45,442448.01,36.68,24
2020-05-29,34,8,3,125769.99,89258.58,339941.57,429200.15,215028.57,42.92,35
2020-06-05,42,3,0,119049.69,111300.36,376830.95,488131.31,230350.05,48.81,43
2020-06-12,19,23,3,215753.82,82323.18,374858.27,457181.45,298077.0,45.72,39
2020-06-19,10,33,2,332505.32,79839.67,392314.34,472154.01,412344.99,47.22,36
2020-06-26,37,8,0,147106.99,86521.32,427603.24,514124.56,233628.31,51.41,43
2020-07-03,25,19,1,207006.29,96535.93,437601.02,534136.95,303542.22,53.41,43
2020-07-10,25,14,6,309547.2,77900.8,462275.61,540176.41,387448.0,54.02,42
2020-07-17,21,18,6,421486.48,77098.99,503952.06,581051.05,498585.47,58.11,38
2020-07-24,24,16,5,419076.27,59135.7,537879.57,597015.27,478211.97,59.7,38
2020-07-31,23,15,7,427964.44,63210.98,571998.64,635209.62,491175.42,63.52,33
2020-08-07,23,19,3,552712.33,56611.32,620451.3,677062.62,609323.65,67.71,31
2020-08-14,21,22,2,514385.84,56666.8,641816.95,698483.75,571052.64,69.85,32
2020-08-21,26,18,1,283896.88,76473.57,659142.17,735615.74,360370.45,73.56,39
2020-08-28,22,20,3,320075.75,66667.6,690698.15,757365.75,386743.35,75.74,40
