NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-01 20:19:45

BUY SIGNALS (941):
  IGL.NS          | Price:  160.47 | Entry:  157.26 | Target:  187.26 | Risk: LOW       
  SONACOMS.NS     | Price:  607.45 | Entry:   595.3 | Target:  689.86 | Risk: LOW       
  TATATECH.NS     | Price:  705.30 | Entry:  691.19 | Target:  808.18 | Risk: LOW       
  STARHEALTH.NS   | Price:  527.95 | Entry:  517.39 | Target:  599.56 | Risk: LOW       
  JBCHEPHARM.NS   | Price: 2167.40 | Entry: 2124.05 | Target: 2510.04 | Risk: LOW       
  SUMICHEM.NS     | Price:  501.55 | Entry:  491.52 | Target:  597.84 | Risk: LOW       
  AEGISLOG.NS     | Price:  748.45 | Entry:  733.48 | Target:  894.04 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 7129.00 | Entry: 6986.42 | Target: 8163.64 | Risk: LOW       
  BANDHANBNK.NS   | Price:  208.30 | Entry:  204.13 | Target:  236.93 | Risk: LOW       
  EMCURE.NS       | Price: 1696.00 | Entry: 1662.08 | Target: 1944.54 | Risk: LOW       
  ZFCVINDIA.NS    | Price: 14674.00 | Entry: 14380.52 | Target: 17391.86 | Risk: LOW       
  NUVAMA.NS       | Price: 1554.60 | Entry: 1523.51 | Target: 1779.80 | Risk: LOW       
  SHYAMMETL.NS    | Price:  973.35 | Entry:  953.88 | Target: 1136.94 | Risk: LOW       
  FSL.NS          | Price:  262.73 | Entry:  257.48 | Target:  328.46 | Risk: LOW       
  WOCKPHARMA.NS   | Price: 2031.40 | Entry: 1990.77 | Target: 2448.61 | Risk: LOW       
  MANAPPURAM.NS   | Price:  325.40 | Entry:  318.89 | Target:  373.60 | Risk: LOW       
  TIMKEN.NS       | Price: 3630.40 | Entry: 3557.79 | Target: 4198.94 | Risk: LOW       
  ANGELONE.NS     | Price:  337.30 | Entry:  330.55 | Target:  398.98 | Risk: LOW       
  TATACHEM.NS     | Price:  758.00 | Entry:  742.84 | Target:  871.98 | Risk: LOW       
  ASAHIINDIA.NS   | Price:  902.60 | Entry:  884.55 | Target: 1054.76 | Risk: LOW       
  ASTRAZEN.NS     | Price: 8631.50 | Entry: 8458.87 | Target: 10016.86 | Risk: LOW       
  ERIS.NS         | Price: 1399.00 | Entry: 1371.02 | Target: 1703.11 | Risk: LOW       
  CESC.NS         | Price:  182.09 | Entry:  178.45 | Target:  208.17 | Risk: LOW       
  HBLENGINE.NS    | Price:  822.60 | Entry:  806.15 | Target:  986.31 | Risk: LOW       
  IIFL.NS         | Price:  466.90 | Entry:  457.56 | Target:  565.94 | Risk: LOW       
  REDINGTON.NS    | Price:  224.33 | Entry:  219.84 | Target:  258.55 | Risk: LOW       
  JSWHL.NS        | Price: 13177.00 | Entry: 12913.46 | Target: 15316.29 | Risk: LOW       
  KPIL.NS         | Price: 1305.00 | Entry:  1278.9 | Target: 1506.11 | Risk: LOW       
  ATHERENERG.NS   | Price:  964.10 | Entry:  944.82 | Target: 1152.06 | Risk: LOW       
  SUNDRMFAST.NS   | Price:  860.45 | Entry:  843.24 | Target:  990.27 | Risk: LOW       
  OLAELEC.NS      | Price:   41.49 | Entry:   40.66 | Target:   50.48 | Risk: LOW       
  CHALET.NS       | Price:  784.60 | Entry:  768.91 | Target:  918.65 | Risk: LOW       
  CHAMBLFERT.NS   | Price:  466.40 | Entry:  457.07 | Target:  543.40 | Risk: LOW       
  ANANTRAJ.NS     | Price:  514.15 | Entry:  503.87 | Target:  606.76 | Risk: LOW       
  SCHNEIDER.NS    | Price: 1308.80 | Entry: 1282.62 | Target: 1634.44 | Risk: LOW       
  NEULANDLAB.NS   | Price: 17088.00 | Entry: 16746.24 | Target: 20514.79 | Risk: LOW       
  RPOWER.NS       | Price:   27.64 | Entry:   27.09 | Target:   32.83 | Risk: LOW       
  DEEPAKFERT.NS   | Price: 1410.10 | Entry:  1381.9 | Target: 1732.24 | Risk: LOW       
  JSWCEMENT.NS    | Price:  129.63 | Entry:  127.04 | Target:  156.73 | Risk: LOW       
  SAILIFE.NS      | Price: 1160.00 | Entry:  1136.8 | Target: 1434.89 | Risk: LOW       
  CGCL.NS         | Price:  198.36 | Entry:  194.39 | Target:  230.14 | Risk: LOW       
  ARE&M.NS        | Price:  886.10 | Entry:  868.38 | Target: 1038.40 | Risk: LOW       
  MAHSCOOTER.NS   | Price: 12768.00 | Entry: 12512.64 | Target: 15239.79 | Risk: LOW       
  TRITURBINE.NS   | Price:  741.50 | Entry:  726.67 | Target:  929.07 | Risk: LOW       
  RBLBANK.NS      | Price:  345.00 | Entry:   338.1 | Target:  392.61 | Risk: LOW       
  NETWEB.NS       | Price: 4670.70 | Entry: 4577.29 | Target: 5703.74 | Risk: LOW       
  TBOTEK.NS       | Price: 1229.40 | Entry: 1204.81 | Target: 1491.79 | Risk: LOW       
  TRAVELFOOD.NS   | Price: 1224.60 | Entry: 1200.11 | Target: 1462.24 | Risk: LOW       
  CPPLUS.NS       | Price: 2903.50 | Entry: 2845.43 | Target: 3478.39 | Risk: LOW       
  SOBHA.NS        | Price: 1418.00 | Entry: 1389.64 | Target: 1630.46 | Risk: LOW       
  LMW.NS          | Price: 15709.00 | Entry: 15394.82 | Target: 18585.07 | Risk: LOW       
  ACMESOLAR.NS    | Price:  310.10 | Entry:   303.9 | Target:  359.46 | Risk: LOW       
  GMDCLTD.NS      | Price:  670.00 | Entry:   656.6 | Target:  792.64 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 9074.00 | Entry: 8892.52 | Target: 10481.50 | Risk: LOW       
  ELGIEQUIP.NS    | Price:  573.45 | Entry:  561.98 | Target:  680.09 | Risk: LOW       
  AKZOINDIA.NS    | Price: 3151.80 | Entry: 3088.76 | Target: 3647.44 | Risk: LOW       
  ABDL.NS         | Price:  558.30 | Entry:  547.13 | Target:  672.91 | Risk: LOW       
  DATAPATTNS.NS   | Price: 4043.10 | Entry: 3962.24 | Target: 5015.06 | Risk: LOW       
  IGIL.NS         | Price:  371.80 | Entry:  364.36 | Target:  450.28 | Risk: LOW       
  KIRLOSBROS.NS   | Price: 1633.00 | Entry: 1600.34 | Target: 1961.29 | Risk: LOW       
  AGARWALEYE.NS   | Price:  484.10 | Entry:  474.42 | Target:  559.17 | Risk: LOW       
  RRKABEL.NS      | Price: 2056.30 | Entry: 2015.17 | Target: 2452.44 | Risk: LOW       
  IFCI.NS         | Price:   68.53 | Entry:   67.16 | Target:   80.89 | Risk: LOW       
  NIVABUPA.NS     | Price:   83.50 | Entry:   81.83 | Target:   95.55 | Risk: LOW       
  PARADEEP.NS     | Price:  125.96 | Entry:  123.44 | Target:  151.11 | Risk: LOW       
  RAINBOW.NS      | Price: 1380.30 | Entry: 1352.69 | Target: 1573.41 | Risk: LOW       
  INTELLECT.NS    | Price:  716.85 | Entry:  702.51 | Target:  847.15 | Risk: LOW       
  SYRMA.NS        | Price: 1088.55 | Entry: 1066.78 | Target: 1342.48 | Risk: LOW       
  NUVOCO.NS       | Price:  348.65 | Entry:  341.68 | Target:  411.58 | Risk: LOW       
  KIRLOSENG.NS    | Price: 1928.00 | Entry: 1889.44 | Target: 2351.54 | Risk: LOW       
  AARTIIND.NS     | Price:  475.00 | Entry:   465.5 | Target:  551.29 | Risk: LOW       
  EMMVEE.NS       | Price:  325.30 | Entry:  318.79 | Target:  386.92 | Risk: LOW       
  PCBL.NS         | Price:  289.85 | Entry:  284.05 | Target:  346.69 | Risk: LOW       
  JWL.NS          | Price:  290.75 | Entry:  284.94 | Target:  348.14 | Risk: LOW       
  CEMPRO.NS       | Price: 1071.15 | Entry: 1049.73 | Target: 1315.26 | Risk: LOW       
  ZENTEC.NS       | Price: 1664.70 | Entry: 1631.41 | Target: 1947.63 | Risk: LOW       
  IEX.NS          | Price:  128.31 | Entry:  125.74 | Target:  141.52 | Risk: LOW       
  CYIENT.NS       | Price:  908.25 | Entry:  890.09 | Target: 1018.59 | Risk: LOW       
  INDGN.NS        | Price:  521.55 | Entry:  511.12 | Target:  602.98 | Risk: LOW       
  MINDACORP.NS    | Price:  624.40 | Entry:  611.91 | Target:  751.67 | Risk: LOW       
  BELRISE.NS      | Price:  216.46 | Entry:  212.13 | Target:  257.21 | Risk: LOW       
  JPPOWER.NS      | Price:   21.87 | Entry:   21.43 | Target:   28.02 | Risk: LOW       
  TARIL.NS        | Price:  320.55 | Entry:  314.14 | Target:  385.30 | Risk: LOW       
  GRANULES.NS     | Price:  773.85 | Entry:  758.37 | Target:  885.26 | Risk: LOW       
  MGL.NS          | Price: 1095.00 | Entry:  1073.1 | Target: 1289.11 | Risk: LOW       
  USHAMART.NS     | Price:  506.05 | Entry:  495.93 | Target:  589.30 | Risk: LOW       
  TEGA.NS         | Price: 1766.00 | Entry: 1730.68 | Target: 2095.50 | Risk: LOW       
  FINCABLES.NS    | Price: 1136.30 | Entry: 1113.57 | Target: 1383.82 | Risk: LOW       
  ELECON.NS       | Price:  510.00 | Entry:   499.8 | Target:  627.32 | Risk: LOW       
  JINDALSAW.NS    | Price:  247.09 | Entry:  242.15 | Target:  296.69 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  137.97 | Entry:  135.21 | Target:  162.37 | Risk: LOW       
  NSLNISP.NS      | Price:   44.62 | Entry:   43.73 | Target:   53.26 | Risk: LOW       
  ACUTAAS.NS      | Price: 3132.50 | Entry: 3069.85 | Target: 3689.54 | Risk: LOW       
  FINPIPE.NS      | Price:  186.22 | Entry:   182.5 | Target:  222.07 | Risk: LOW       
  SAMMAANCAP.NS   | Price:  177.01 | Entry:  173.47 | Target:  211.40 | Risk: LOW       
  BLUEJET.NS      | Price:  449.35 | Entry:  440.36 | Target:  584.33 | Risk: LOW       
  CHENNPETRO.NS   | Price: 1058.20 | Entry: 1037.04 | Target: 1212.13 | Risk: LOW       
  TSFINV.NS       | Price:  408.90 | Entry:  400.72 | Target:  484.02 | Risk: LOW       
  SBFC.NS         | Price:   94.30 | Entry:   92.41 | Target:  106.94 | Risk: LOW       
  TITAGARH.NS     | Price:  826.15 | Entry:  809.63 | Target:  981.19 | Risk: LOW       
  SHRIPISTON.NS   | Price: 3391.00 | Entry: 3323.18 | Target: 3965.54 | Risk: LOW       
  ALIVUS.NS       | Price: 1055.50 | Entry: 1034.39 | Target: 1245.43 | Risk: LOW       
  J&KBANK.NS      | Price:  140.36 | Entry:  137.55 | Target:  165.51 | Risk: LOW       
  WAAREERTL.NS    | Price:  974.00 | Entry:  954.52 | Target: 1123.29 | Risk: LOW       
  RELAXO.NS       | Price:  345.30 | Entry:  338.39 | Target:  406.93 | Risk: LOW       
