NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-16 18:59:16

BUY SIGNALS (820):
  AWL.NS          | Price:  199.73 | Entry:  195.74 | Target:  233.80 | Risk: LOW       
  DELHIVERY.NS    | Price:  475.75 | Entry:  466.24 | Target:  536.55 | Risk: LOW       
  ASTERDM.NS      | Price:  753.65 | Entry:  738.58 | Target:  871.58 | Risk: LOW       
  AJANTPHARM.NS   | Price: 3177.20 | Entry: 3113.66 | Target: 3637.63 | Risk: LOW       
  GLAND.NS        | Price: 1868.30 | Entry: 1830.93 | Target: 2163.37 | Risk: LOW       
  NIACL.NS        | Price:  165.02 | Entry:  161.72 | Target:  191.94 | Risk: LOW       
  NBCC.NS         | Price:   93.82 | Entry:   91.94 | Target:  108.30 | Risk: LOW       
  HINDCOPPER.NS   | Price:  570.25 | Entry:  558.85 | Target:  674.48 | Risk: LOW       
  AEGISVOPAK.NS   | Price:  197.72 | Entry:  193.77 | Target:  243.28 | Risk: LOW       
  KIMS.NS         | Price:  761.65 | Entry:  746.42 | Target:  896.42 | Risk: LOW       
  TATATECH.NS     | Price:  620.45 | Entry:  608.04 | Target:  732.68 | Risk: LOW       
  JBCHEPHARM.NS   | Price: 2140.40 | Entry: 2097.59 | Target: 2398.76 | Risk: LOW       
  SUMICHEM.NS     | Price:  458.75 | Entry:  449.57 | Target:  559.71 | Risk: LOW       
  AFFLE.NS        | Price: 1477.10 | Entry: 1447.56 | Target: 1771.92 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 7001.00 | Entry: 6860.98 | Target: 7907.96 | Risk: LOW       
  EMCURE.NS       | Price: 1704.90 | Entry:  1670.8 | Target: 2090.65 | Risk: LOW       
  LALPATHLAB.NS   | Price: 1602.90 | Entry: 1570.84 | Target: 1956.15 | Risk: LOW       
  AMBER.NS        | Price: 8476.50 | Entry: 8306.97 | Target: 9919.36 | Risk: LOW       
  PPLPHARMA.NS    | Price:  174.87 | Entry:  171.37 | Target:  217.42 | Risk: LOW       
  NUVAMA.NS       | Price: 1458.50 | Entry: 1429.33 | Target: 1759.83 | Risk: LOW       
  FSL.NS          | Price:  237.60 | Entry:  232.85 | Target:  307.55 | Risk: LOW       
  DEEPAKNTR.NS    | Price: 1826.40 | Entry: 1789.87 | Target: 2124.04 | Risk: LOW       
  WOCKPHARMA.NS   | Price: 1545.90 | Entry: 1514.98 | Target: 1936.01 | Risk: LOW       
  PTCIL.NS        | Price: 16788.00 | Entry: 16452.24 | Target: 18997.64 | Risk: LOW       
  PFIZER.NS       | Price: 4954.70 | Entry: 4855.61 | Target: 5637.52 | Risk: LOW       
  MANAPPURAM.NS   | Price:  307.45 | Entry:   301.3 | Target:  357.37 | Risk: LOW       
  PNBHOUSING.NS   | Price: 1069.40 | Entry: 1048.01 | Target: 1193.26 | Risk: LOW       
  ABSLAMC.NS      | Price: 1030.40 | Entry: 1009.79 | Target: 1226.60 | Risk: LOW       
  TIMKEN.NS       | Price: 3531.20 | Entry: 3460.58 | Target: 4049.66 | Risk: LOW       
  WELCORP.NS      | Price: 1309.00 | Entry: 1282.82 | Target: 1519.88 | Risk: LOW       
  ASTRAZEN.NS     | Price: 8468.50 | Entry: 8299.13 | Target: 9545.46 | Risk: LOW       
  ERIS.NS         | Price: 1370.90 | Entry: 1343.48 | Target: 1609.97 | Risk: LOW       
  KARURVYSYA.NS   | Price:  299.05 | Entry:  293.07 | Target:  354.73 | Risk: LOW       
  IIFL.NS         | Price:  464.85 | Entry:  455.55 | Target:  562.17 | Risk: LOW       
  CREDITACC.NS    | Price: 1315.20 | Entry:  1288.9 | Target: 1646.88 | Risk: LOW       
  ONESOURCE.NS    | Price: 1834.80 | Entry:  1798.1 | Target: 2189.94 | Risk: LOW       
  SUNDRMFAST.NS   | Price:  851.50 | Entry:  834.47 | Target:  989.06 | Risk: LOW       
  CHALET.NS       | Price:  784.65 | Entry:  768.96 | Target:  907.53 | Risk: LOW       
  CHAMBLFERT.NS   | Price:  449.90 | Entry:   440.9 | Target:  510.58 | Risk: LOW       
  SCHNEIDER.NS    | Price: 1264.30 | Entry: 1239.01 | Target: 1616.07 | Risk: LOW       
  BASF.NS         | Price: 3855.20 | Entry:  3778.1 | Target: 4536.88 | Risk: LOW       
  KANSAINER.NS    | Price:  222.07 | Entry:  217.63 | Target:  261.26 | Risk: LOW       
  NEULANDLAB.NS   | Price: 16590.00 | Entry: 16258.2 | Target: 20329.29 | Risk: LOW       
  CROMPTON.NS     | Price:  301.95 | Entry:  295.91 | Target:  354.69 | Risk: LOW       
  CAMS.NS         | Price:  784.00 | Entry:  768.32 | Target:  912.68 | Risk: LOW       
  ATUL.NS         | Price: 7100.00 | Entry:  6958.0 | Target: 7996.96 | Risk: LOW       
  APLLTD.NS       | Price:  784.10 | Entry:  768.42 | Target:  891.58 | Risk: LOW       
  DEEPAKFERT.NS   | Price: 1318.50 | Entry: 1292.13 | Target: 1558.30 | Risk: LOW       
  SAILIFE.NS      | Price: 1090.90 | Entry: 1069.08 | Target: 1309.94 | Risk: LOW       
  GRINDWELL.NS    | Price: 1859.90 | Entry:  1822.7 | Target: 2188.94 | Risk: LOW       
