NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-15 18:49:47

BUY SIGNALS (33):
  STARHEALTH.NS   | Price:  460.00 | Trend:   0.77% | Mom:  -2.96% | Risk: LOW       
  CGCL.NS         | Price:  170.02 | Trend:  -1.95% | Mom:   1.28% | Risk: LOW       
  WELCORP.NS      | Price:  800.10 | Trend:   1.47% | Mom:  -3.01% | Risk: LOW       
  POLYMED.NS      | Price: 1258.00 | Trend: -15.09% | Mom:  -0.06% | Risk: LOW       
  CGPOWER.NS      | Price:  708.20 | Trend:   8.46% | Mom:  -2.55% | Risk: LOW       
  HAPPSTMNDS.NS   | Price:  388.40 | Trend:  -3.01% | Mom:   7.17% | Risk: LOW       
  ZENTEC.NS       | Price: 1365.00 | Trend:   1.82% | Mom:   0.56% | Risk: LOW       
  FSL.NS          | Price:  225.00 | Trend: -18.47% | Mom:   2.44% | Risk: LOW       
  FINCABLES.NS    | Price:  857.50 | Trend:   6.75% | Mom:  -1.81% | Risk: LOW       
  SIEMENS.NS      | Price: 3217.00 | Trend:   2.62% | Mom:  -3.59% | Risk: LOW       
  TARIL.NS        | Price:  277.50 | Trend:  -0.25% | Mom: -11.02% | Risk: LOW       
  BIOCON.NS       | Price:  383.40 | Trend:   0.98% | Mom:  -2.90% | Risk: LOW       
  MAHSEAMLES.NS   | Price:  550.05 | Trend:   2.55% | Mom:  -3.32% | Risk: LOW       
  POWERINDIA.NS   | Price: 24190.00 | Trend:  15.27% | Mom:  -4.77% | Risk: LOW       
  FIRSTCRY.NS     | Price:  223.54 | Trend: -11.95% | Mom:   1.40% | Risk: LOW       
  AFFLE.NS        | Price: 1328.70 | Trend: -15.84% | Mom:  -0.07% | Risk: LOW       
  NATCOPHARM.NS   | Price:  960.00 | Trend:   7.39% | Mom:  -1.25% | Risk: LOW       
  SAILIFE.NS      | Price:  945.25 | Trend:   3.01% | Mom:  -2.00% | Risk: LOW       
  CUMMINSIND.NS   | Price: 4683.90 | Trend:   6.92% | Mom:  -5.62% | Risk: LOW       
  RADICO.NS       | Price: 2800.00 | Trend:  -1.36% | Mom:   3.67% | Risk: LOW       
